3616 ,08 太和县人民医院
3600 ,31 朱江华
3648 ,全数字一体化复合手术室规划设计与使用管理
3783 ,汪珍——“丽珠杯”安徽省生殖与遗传疾病诊疗联盟病例视频大赛
3748 ,南京岚煜生物科技宣传片英
3720 ,爱惜康宣传片
3688 ,2021第六届“国际临床工程日”全球庆典晚会—朗诵：永远跟党走
3684 ,分论坛二：医疗设备及耗材精益管理
3765 ,刁玉芳——“丽珠杯”安徽省生殖与遗传疾病诊疗联盟病例视频大赛
3701 ,2021第六届“国际临床工程日”全球庆典晚会—山楂树祝福
3729 ,新时期下，基于循证决策耗材管理高峰论坛
3795 ,陈静——“丽珠杯”安徽省生殖与遗传疾病诊疗联盟病例视频大赛
3608 ,39 祖龙飞
3618 ,10 中南大学湘雅三医院
3676 ,【CMAI 2021回顾】雷柏英教授—《智能医学图像处理》
3725 ,2017年第八届中国好医工评选宣传视频
3786 ,饶阳阳——“丽珠杯”安徽省生殖与遗传疾病诊疗联盟病例视频大赛
3771 ,【CMAI 2021回顾】辛学刚教授—《考虑组织微结构要素的DWI成像扩散系数及膜内外质子交换率研究》
3731 ,11.27肌骨会云展视频资料
3632 ,11
3700 ,PET/MR在中枢神经系统肿瘤中的应用价值
3604 ,35 陈云芝
3756 ,【GCEA】第三期 探讨关于全球临床工程相关实践（BoP）和知识体系（BoK）
3772 ,【CMAI 2021回顾】杨默教授—《AI在血液学的应用》
3796 ,王昊昱——“丽珠杯”安徽省生殖与遗传疾病诊疗联盟病例视频大赛
3792 ,姚玮娜——“丽珠杯”安徽省生殖与遗传疾病诊疗联盟病例视频大赛
3781 ,王艳——“丽珠杯”安徽省生殖与遗传疾病诊疗联盟病例视频大赛
3695 ,2021第六届“国际临床工程日”全球庆典晚会—大合唱：我和我的祖国
3653 ,2021山东第一影像超声明湖论坛 山东省医学影像学研究会超声分会
3619 ,11 深圳市人民医院
3662 ,【CMAI 2021回顾】卢光明教授—《急性缺血性脑卒中的影像AI应用研究》
3728 , 2020年第十一届中国好医工评选宣传视频
3610 ,03 徐州医科大学附属医院
3724 ,2016年第七届中国好医工评选宣传视频
3681 ,中日友好国际医工论坛暨创新医疗设备管理赋能医院高质量发展研讨会
